scorer,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,362.8293151855469,237.30958557128906,0.9999998211860657,378.5279235839844,236.27883911132812,0.9999996423721313,396.97637939453125,233.1499481201172,0.9999997615814209,407.43402099609375,218.18392944335938,0.9999982118606567,409.5981750488281,200.0245361328125,0.9999985694885254,399.7422180175781,188.51417541503906,0.9999953508377075,385.7442626953125,204.28533935546875,0.9999989867210388,386.9327392578125,228.1412353515625,0.9998002052307129
1,363.3702697753906,239.68397521972656,1.0,377.87286376953125,237.27706909179688,0.999998927116394,396.14459228515625,234.06617736816406,0.9999997615814209,406.8349609375,218.9256134033203,0.9999949932098389,409.32330322265625,200.9013214111328,0.9999960660934448,398.78192138671875,188.58934020996094,0.9999963045120239,384.20892333984375,204.4179229736328,0.999998152256012,385.715087890625,229.79537963867188,0.9998853206634521
2,363.1039123535156,240.9455108642578,0.9999999403953552,377.8688659667969,237.20191955566406,0.999998927116394,397.13671875,234.54437255859375,0.9999997019767761,407.449951171875,217.99282836914062,0.9999973177909851,409.2464599609375,199.81460571289062,0.9999977946281433,398.6928405761719,188.52133178710938,0.9999969005584717,386.112060546875,203.17501831054688,0.999998927116394,384.8143310546875,229.81500244140625,0.9999480247497559
3,364.4872741699219,242.06784057617188,1.0,381.35577392578125,237.68045043945312,0.9999995231628418,399.587646484375,234.3082733154297,0.9999997615814209,408.9324645996094,215.95819091796875,0.9999988079071045,410.1375427246094,198.61553955078125,0.9999988079071045,399.8567199707031,188.46424865722656,0.9999977350234985,385.77838134765625,203.448974609375,0.9999998807907104,385.8953552246094,230.63284301757812,0.9999902844429016
4,364.4815979003906,248.78982543945312,1.0,382.733154296875,240.99710083007812,0.9999992847442627,400.3272399902344,236.91648864746094,0.9999992251396179,408.3733215332031,215.0720672607422,0.9999996423721313,409.80059814453125,195.69859313964844,0.9999977350234985,398.1221923828125,185.9156036376953,0.9999898672103882,383.94488525390625,205.316650390625,0.9999949336051941,382.0804748535156,234.78208923339844,0.999993085861206
5,364.3941345214844,250.79443359375,1.0,382.6016540527344,240.8433380126953,0.9999990463256836,403.1524353027344,233.06561279296875,0.9999996423721313,410.3193359375,210.5491485595703,0.9999995827674866,408.6150207519531,192.70718383789062,0.9999967217445374,395.66192626953125,184.93881225585938,0.9999898076057434,384.78900146484375,205.34231567382812,0.9999954700469971,378.3443908691406,232.7690887451172,0.9999740123748779
6,368.17767333984375,252.8899383544922,1.0,387.55816650390625,239.86065673828125,0.9999997615814209,404.2590637207031,231.21536254882812,0.999998927116394,411.4278564453125,206.48663330078125,0.9999920129776001,406.435546875,187.4358673095703,0.9999996423721313,391.7111511230469,188.80419921875,0.9998684525489807,386.56561279296875,210.2711639404297,0.9999923706054688,376.5302734375,232.29696655273438,0.9998311996459961
7,369.2426452636719,259.0718994140625,1.0,389.0541076660156,242.4434356689453,0.9999997019767761,403.6539611816406,228.9022216796875,0.9999994039535522,410.5190124511719,203.51931762695312,0.9999970197677612,401.46197509765625,185.74534606933594,0.9999992847442627,386.3615417480469,194.22552490234375,0.9999979734420776,381.43463134765625,215.011474609375,0.9999970197677612,367.0397033691406,232.74034118652344,0.999998927116394
8,371.9708557128906,262.69671630859375,1.0,390.4149475097656,244.57846069335938,0.9999997019767761,403.15435791015625,228.57151794433594,0.999999463558197,412.37579345703125,202.0377960205078,0.9999972581863403,402.4793395996094,183.9784698486328,0.9999997019767761,386.2642517089844,194.39398193359375,0.9999995827674866,380.5511474609375,213.8531951904297,0.9999995231628418,362.7095642089844,228.10018920898438,1.0
9,374.45794677734375,264.019287109375,1.0,391.98834228515625,244.3616943359375,0.9999995231628418,404.10223388671875,228.1560516357422,0.9999990463256836,413.59210205078125,202.18824768066406,0.9999961853027344,403.136962890625,183.331298828125,0.9999998807907104,387.9559326171875,192.8652801513672,0.9999998211860657,381.7215270996094,210.61233520507812,0.9999997615814209,361.5679016113281,223.5435333251953,1.0
10,375.0990295410156,265.6778259277344,1.0,390.6408386230469,245.45556640625,0.9999996423721313,402.8877258300781,229.2606658935547,0.9999997615814209,411.6354675292969,203.543701171875,0.9999995231628418,402.0314636230469,183.89903259277344,0.9999998211860657,385.6637268066406,193.7296905517578,0.9999998807907104,378.4802551269531,211.1310577392578,0.9999998807907104,359.3495788574219,223.48268127441406,1.0
11,375.06329345703125,268.7931213378906,1.0,389.1620178222656,249.8262176513672,0.999998927116394,403.0926818847656,230.9703369140625,0.9999989867210388,412.6502380371094,204.7938995361328,0.999997615814209,403.397216796875,182.96170043945312,0.9999999403953552,387.89056396484375,191.359130859375,0.9999998807907104,379.4886779785156,206.52886962890625,0.9999998211860657,359.432373046875,216.79400634765625,1.0
12,376.2345886230469,268.0641174316406,0.9999999403953552,390.43670654296875,248.17532348632812,0.9999984502792358,403.2172546386719,229.9609375,0.9999997615814209,412.6656799316406,204.15335083007812,0.9999995827674866,403.8963928222656,182.57403564453125,1.0,388.10565185546875,189.02210998535156,0.9999998807907104,379.5778503417969,205.0365447998047,0.9999999403953552,359.48162841796875,214.7216339111328,1.0
13,375.92724609375,268.7936096191406,1.0,389.18536376953125,249.63548278808594,0.9999992847442627,402.484619140625,231.37522888183594,0.9999996423721313,412.0459899902344,206.23663330078125,0.9999992847442627,403.1259460449219,184.11431884765625,0.9999998807907104,386.6163330078125,190.8873748779297,0.9999998211860657,378.2275390625,206.76007080078125,0.9999997615814209,357.75250244140625,216.12118530273438,1.0
14,375.739501953125,268.0003662109375,0.9999998807907104,389.5812072753906,248.71832275390625,0.9999977946281433,403.05853271484375,230.30001831054688,0.9999995231628418,413.03399658203125,204.56829833984375,0.9999988079071045,404.0474548339844,183.72421264648438,0.9999999403953552,388.4062805175781,190.83302307128906,0.9999998211860657,379.6344909667969,206.9120635986328,0.9999997615814209,358.96282958984375,214.7239990234375,1.0
15,376.7154846191406,266.1585998535156,0.9999998807907104,391.8597717285156,245.85350036621094,0.9999978542327881,403.4771728515625,228.80996704101562,0.9999997615814209,413.1912536621094,203.79505920410156,0.9999992847442627,404.5293273925781,183.85513305664062,0.9999998807907104,388.58880615234375,191.37232971191406,0.9999998807907104,379.7132873535156,207.5325927734375,0.9999997615814209,359.4508056640625,214.68035888671875,1.0
16,375.57861328125,266.04766845703125,1.0,391.5058898925781,247.38571166992188,0.9999988079071045,402.69989013671875,229.89076232910156,0.9999997615814209,411.5849914550781,205.63580322265625,0.9999997615814209,403.951416015625,185.3553009033203,0.9999998807907104,387.61676025390625,190.99522399902344,0.9999999403953552,379.3982849121094,206.3350067138672,0.9999998807907104,359.09368896484375,212.80157470703125,1.0
17,376.35211181640625,264.7939147949219,0.9999998807907104,393.4893493652344,247.1929168701172,0.999998927116394,403.52545166015625,228.8143310546875,0.9999998807907104,412.3424377441406,204.93894958496094,0.9999998807907104,404.3199157714844,185.52108764648438,0.9999998807907104,388.18389892578125,190.77964782714844,0.9999999403953552,379.9324035644531,203.8064727783203,0.9999999403953552,360.7752685546875,206.5866241455078,0.9999997615814209
18,376.2813720703125,264.0595397949219,1.0,395.3452453613281,246.76768493652344,0.9999992847442627,403.65985107421875,228.7899932861328,0.9999998807907104,411.3172912597656,205.91603088378906,0.9999998807907104,403.63885498046875,186.6648712158203,0.9999999403953552,387.5374450683594,191.7842559814453,1.0,380.4687805175781,204.12490844726562,0.9999998211860657,362.0155029296875,205.33175659179688,0.9999997615814209
19,374.5394592285156,263.04156494140625,1.0,394.8561096191406,247.16017150878906,0.9999996423721313,403.17535400390625,228.2481231689453,0.9999998807907104,409.32037353515625,205.70242309570312,0.9999998807907104,401.3804016113281,186.8170166015625,0.9999999403953552,384.21142578125,191.11439514160156,1.0,377.7762451171875,205.15850830078125,0.9999996423721313,359.49285888671875,204.45504760742188,0.9999998807907104
20,374.8409118652344,260.49688720703125,1.0,394.6983642578125,246.3833770751953,0.9999994039535522,404.823486328125,227.4249267578125,1.0,411.1619567871094,206.16697692871094,0.9999998807907104,402.4721984863281,186.9185028076172,0.9999998807907104,384.7835693359375,189.631591796875,1.0,379.11016845703125,202.77960205078125,0.9999996423721313,360.6689147949219,200.24427795410156,0.9999997615814209
