scorer,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,332.4295654296875,118.44974517822266,1.0,342.8566589355469,133.27252197265625,1.0,355.2296447753906,148.23936462402344,1.0,371.49127197265625,161.37625122070312,0.9999998211860657,379.16070556640625,185.902587890625,0.9999995231628418,378.81854248046875,209.38214111328125,0.9999992847442627,365.4112854003906,225.73062133789062,1.0,371.113037109375,247.1554718017578,1.0
1,333.4919128417969,120.47884368896484,1.0,344.3983459472656,134.62977600097656,1.0,356.454833984375,148.3963165283203,1.0,371.96636962890625,160.05630493164062,0.9999998807907104,378.48291015625,184.26744079589844,1.0,377.4127197265625,206.67523193359375,0.9999986886978149,366.43896484375,223.35958862304688,0.9999998807907104,370.2304992675781,241.472900390625,1.0
2,334.42169189453125,120.9295654296875,0.9999999403953552,344.74847412109375,133.34771728515625,1.0,357.0511779785156,148.0250701904297,1.0,372.4920349121094,160.11012268066406,0.9999998807907104,378.3614807128906,183.27236938476562,1.0,376.212158203125,205.45071411132812,0.9999977350234985,365.8307189941406,221.8116912841797,0.9999998807907104,369.51678466796875,237.21897888183594,0.9999998807907104
3,332.9719543457031,121.40457153320312,1.0,344.99713134765625,135.3821258544922,1.0,357.298583984375,149.28466796875,1.0,372.39788818359375,162.00811767578125,0.9999998807907104,377.63677978515625,185.53561401367188,0.9999998807907104,372.70233154296875,207.77005004882812,0.9999995231628418,363.2644348144531,224.06617736816406,1.0,374.6042785644531,240.75814819335938,0.9999999403953552
4,333.89794921875,122.23359680175781,1.0,345.4096374511719,135.24591064453125,1.0,358.99468994140625,150.04672241210938,1.0,373.6388854980469,163.9365234375,1.0,376.82513427734375,188.56753540039062,0.9999997615814209,370.2575378417969,209.29794311523438,0.9999972581863403,362.77166748046875,225.89755249023438,1.0,376.63848876953125,239.78421020507812,0.9999997615814209
5,334.7427673339844,122.61798858642578,1.0,346.9794006347656,135.7604522705078,0.9999998807907104,360.0208435058594,151.35804748535156,0.9999998807907104,373.7347106933594,165.6305389404297,0.9999999403953552,376.2010192871094,189.78302001953125,0.9999997615814209,368.63214111328125,209.08737182617188,0.9999976754188538,363.41241455078125,226.39700317382812,0.9999998807907104,380.9527587890625,235.24188232421875,0.9999993443489075
6,333.7867431640625,123.33837127685547,1.0,346.2044982910156,135.83343505859375,1.0,359.4735412597656,151.29974365234375,1.0,373.0733947753906,166.59100341796875,0.9999998807907104,374.3044128417969,189.6297607421875,0.9999999403953552,365.80267333984375,210.33670043945312,0.9999990463256836,362.35272216796875,229.1435546875,0.9999998807907104,384.13299560546875,229.4061279296875,0.9999980926513672
7,335.4171447753906,123.29908752441406,1.0,348.5429992675781,136.99691772460938,0.9999998807907104,361.1540832519531,152.29959106445312,0.9999998807907104,373.9889221191406,168.8354949951172,1.0,374.2635803222656,190.97955322265625,0.9999998211860657,365.31842041015625,211.18157958984375,0.9999992251396179,363.4618835449219,230.3360137939453,0.9999997615814209,384.2581481933594,224.68008422851562,0.9999972581863403
8,336.5632019042969,122.81018829345703,1.0,349.4200439453125,137.41650390625,0.9999999403953552,361.2164001464844,153.33872985839844,0.9999997615814209,373.4797668457031,172.25624084472656,1.0,372.5774230957031,191.2534942626953,1.0,365.56524658203125,212.2414093017578,0.9999998211860657,365.8382568359375,232.59056091308594,0.999999463558197,387.2250061035156,216.74009704589844,0.9999997615814209
9,336.4002685546875,123.0893325805664,1.0,349.16571044921875,136.74632263183594,0.9999998807907104,359.77716064453125,152.4427490234375,0.9999998807907104,371.5978088378906,172.73147583007812,1.0,370.4630126953125,191.0122528076172,0.9999998807907104,363.4136962890625,212.10816955566406,0.9999998807907104,366.6132507324219,231.36041259765625,0.9999995231628418,385.34478759765625,210.9644012451172,0.9999996423721313
10,338.14996337890625,123.26807403564453,1.0,350.42608642578125,137.50140380859375,0.9999998807907104,360.1126403808594,153.14801025390625,0.9999998807907104,370.0740051269531,173.5747833251953,1.0,368.7374572753906,191.6725311279297,0.9999998807907104,363.2510681152344,212.53085327148438,0.9999997615814209,368.4857177734375,230.93499755859375,0.9999998807907104,386.6028137207031,208.27841186523438,0.9999998807907104
11,339.9024353027344,121.96412658691406,1.0,351.41400146484375,137.23214721679688,1.0,359.8284912109375,153.65359497070312,0.9999998211860657,368.6134948730469,174.78492736816406,0.9999998807907104,367.4736022949219,191.73953247070312,0.9999998807907104,362.7171936035156,212.28335571289062,0.9999997615814209,370.9097900390625,230.38723754882812,0.9999998807907104,385.89898681640625,205.77963256835938,0.9999999403953552
12,339.6318054199219,121.70292663574219,1.0,349.42498779296875,137.35519409179688,0.9999998807907104,357.62310791015625,154.0671844482422,1.0,365.17626953125,173.16612243652344,0.9999999403953552,365.1587829589844,192.21597290039062,0.9999999403953552,360.8885192871094,212.1366729736328,0.9999988079071045,370.2167053222656,230.3403778076172,0.9999998807907104,383.52960205078125,204.29757690429688,0.9999999403953552
13,341.281494140625,121.89805603027344,1.0,350.7484130859375,138.37489318847656,1.0,358.75848388671875,155.97024536132812,1.0,365.21649169921875,174.24090576171875,0.9999999403953552,365.5727844238281,192.17474365234375,0.9999999403953552,361.52752685546875,211.42698669433594,0.9999991655349731,371.3581848144531,229.8132781982422,0.9999999403953552,382.92132568359375,202.2192840576172,0.9999999403953552
14,341.2890319824219,121.73463439941406,1.0,350.39630126953125,137.7010498046875,1.0,357.9683532714844,155.54051208496094,1.0,363.5625915527344,172.89865112304688,1.0,365.5126953125,191.73004150390625,0.9999998807907104,361.8153381347656,210.34886169433594,0.9999991059303284,371.71221923828125,228.8064727783203,0.9999998807907104,382.0303649902344,200.83755493164062,0.9999996423721313
15,340.7652282714844,121.92926788330078,1.0,349.25909423828125,137.3991241455078,0.9999999403953552,356.97479248046875,155.8369903564453,1.0,362.8572998046875,173.2250213623047,0.9999999403953552,363.85888671875,191.7677764892578,0.9999997615814209,360.60107421875,210.2310791015625,0.9999982118606567,370.9348449707031,228.58233642578125,0.9999998211860657,380.3079833984375,200.18264770507812,0.9999995231628418
16,342.0326843261719,121.48291778564453,1.0,350.01739501953125,136.77162170410156,0.9999998807907104,356.8465881347656,155.11521911621094,1.0,361.02960205078125,171.39019775390625,1.0,363.5399169921875,190.86924743652344,0.999998927116394,361.0477294921875,209.19667053222656,0.9999967217445374,371.5439758300781,228.28305053710938,0.9999998807907104,379.0233154296875,199.41104125976562,0.9999997615814209
17,342.4237060546875,119.97438049316406,1.0,350.1278991699219,134.92575073242188,1.0,355.1531066894531,154.27015686035156,1.0,359.3658447265625,171.96009826660156,1.0,363.4401550292969,190.19317626953125,0.9999963045120239,362.6674499511719,207.30844116210938,0.9999989867210388,372.0882873535156,228.9561309814453,0.9999998211860657,379.22821044921875,200.02337646484375,0.9999961853027344
18,342.7453308105469,120.13567352294922,1.0,349.7840576171875,135.1287384033203,1.0,354.27655029296875,154.5945281982422,1.0,358.38787841796875,173.72247314453125,1.0,362.6141357421875,191.58480834960938,0.9999979138374329,361.9329528808594,207.23992919921875,0.999998927116394,371.2615051269531,228.54139709472656,0.9999998807907104,377.592529296875,200.77700805664062,0.9999933242797852
19,345.1177062988281,119.4886474609375,1.0,351.2357177734375,135.59228515625,1.0,355.4794006347656,155.1773223876953,0.9999998807907104,358.843017578125,174.46206665039062,1.0,362.9399108886719,192.06463623046875,0.9999988079071045,363.02801513671875,207.8590850830078,0.9999992847442627,372.1960144042969,229.08404541015625,0.9999998807907104,377.8227233886719,201.20079040527344,0.9999946355819702
20,344.78125,118.44627380371094,1.0,350.6419982910156,134.2013397216797,1.0,354.5304260253906,153.96665954589844,1.0,357.8257751464844,174.10308837890625,1.0,362.8201599121094,192.0279998779297,0.9999990463256836,362.873779296875,208.02296447753906,0.9999990463256836,371.97027587890625,228.37806701660156,0.9999999403953552,377.1834411621094,201.3564910888672,0.9999955892562866
21,344.6893005371094,118.78851318359375,1.0,349.9895324707031,135.04042053222656,1.0,353.7096862792969,155.20384216308594,0.9999998807907104,356.38702392578125,175.3851776123047,1.0,361.0150451660156,193.61595153808594,0.9999998211860657,362.05426025390625,209.05357360839844,0.9999995231628418,372.4380798339844,227.56747436523438,0.9999998211860657,376.69873046875,200.15541076660156,0.9999996423721313
