scorer,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,385.42840576171875,324.630859375,1.0,377.97857666015625,311.67486572265625,0.9999998807907104,375.9924011230469,294.49072265625,0.9999997615814209,379.263916015625,274.0542907714844,0.9999999403953552,385.3217468261719,252.80580139160156,1.0,393.1253356933594,232.7776641845703,0.9999983310699463,405.9184875488281,221.25669860839844,0.9999998807907104,420.0117492675781,210.1442108154297,1.0
1,387.0378112792969,324.2118225097656,1.0,379.0700378417969,311.2994689941406,0.9999999403953552,377.0870056152344,293.2955017089844,0.9999997615814209,380.763916015625,273.2322998046875,0.9999997615814209,386.0484313964844,253.08645629882812,0.9999999403953552,394.3369445800781,233.3311309814453,0.9999989867210388,407.0000305175781,221.46299743652344,0.9999998807907104,420.8059387207031,211.4841766357422,1.0
2,387.5983581542969,323.21954345703125,1.0,379.25848388671875,309.9915771484375,1.0,377.55926513671875,291.4346618652344,0.9999997615814209,380.97802734375,271.8622131347656,0.9999999403953552,386.1592102050781,252.1208953857422,0.9999999403953552,394.3769226074219,232.77328491210938,0.9999991655349731,406.6338195800781,221.6924285888672,0.9999999403953552,419.05291748046875,211.7774658203125,1.0
3,387.15789794921875,322.8025817871094,1.0,378.9297180175781,309.3309326171875,1.0,376.931640625,290.6070556640625,0.9999998807907104,380.7610778808594,271.7435607910156,0.9999998807907104,385.2294616699219,253.05502319335938,1.0,393.3444519042969,234.0620574951172,0.999998927116394,406.1162109375,222.587646484375,0.9999998211860657,419.80828857421875,212.03834533691406,1.0
4,387.5006408691406,322.5923156738281,1.0,379.41705322265625,309.11181640625,1.0,377.5474853515625,290.57562255859375,0.9999998807907104,381.2805480957031,271.3941345214844,0.9999998807907104,385.6135559082031,252.6279754638672,1.0,393.9822082519531,233.8467254638672,0.9999992847442627,406.09027099609375,222.33384704589844,0.9999998807907104,419.8821716308594,212.6856689453125,1.0
5,387.51806640625,322.5282897949219,1.0,379.9007263183594,308.9075622558594,1.0,377.8852233886719,290.27734375,0.9999997615814209,381.6112060546875,271.1164855957031,0.9999998807907104,386.2438659667969,252.1260223388672,1.0,394.7710266113281,233.0908966064453,0.9999994039535522,407.2658386230469,222.3317413330078,0.9999997615814209,420.65533447265625,212.65013122558594,1.0
6,387.397705078125,322.8634338378906,1.0,378.95635986328125,308.7905578613281,1.0,377.1302185058594,289.8933410644531,0.9999998807907104,380.7532043457031,270.400634765625,0.9999997615814209,385.193115234375,251.7460174560547,1.0,394.2195739746094,233.24136352539062,0.9999991655349731,407.0697937011719,221.62644958496094,0.9999998807907104,420.527587890625,211.78147888183594,1.0
7,387.185546875,322.59954833984375,1.0,379.4601745605469,308.549560546875,1.0,377.9202880859375,289.9062805175781,0.9999997019767761,381.5030517578125,270.7508544921875,0.9999998807907104,385.91583251953125,252.69813537597656,0.9999999403953552,394.6539001464844,233.6651611328125,0.9999991059303284,405.88006591796875,222.98318481445312,0.9999997615814209,418.7171325683594,213.011474609375,1.0
8,387.35455322265625,322.8099060058594,1.0,379.7324523925781,309.3363952636719,1.0,377.5243835449219,290.9915771484375,0.9999998807907104,380.63311767578125,271.7197570800781,0.9999999403953552,385.3042297363281,252.7834014892578,1.0,393.84307861328125,233.74217224121094,0.9999988675117493,406.8663330078125,222.47142028808594,0.9999997615814209,420.1927490234375,212.67794799804688,1.0
9,386.1835632324219,322.1002197265625,1.0,379.3657531738281,308.21807861328125,0.9999998807907104,376.9399108886719,290.4672546386719,0.9999998807907104,380.35125732421875,271.3204650878906,0.9999998807907104,384.66876220703125,253.625732421875,1.0,393.21337890625,234.59043884277344,0.999998927116394,405.1736145019531,223.3024444580078,0.9999998211860657,419.1350402832031,213.03981018066406,1.0
10,386.83935546875,322.3349304199219,1.0,379.48431396484375,309.5829162597656,0.9999998807907104,377.27203369140625,291.4857482910156,0.9999998211860657,380.27618408203125,272.1647033691406,0.9999998807907104,385.3201904296875,253.7049560546875,1.0,394.2651062011719,234.186767578125,0.9999986886978149,406.5470886230469,223.44931030273438,0.9999997615814209,421.538330078125,214.15367126464844,1.0
11,387.45172119140625,322.1918640136719,1.0,379.2115173339844,310.71649169921875,0.9999999403953552,377.330322265625,292.491943359375,0.9999998807907104,380.0492248535156,273.00244140625,1.0,384.7869567871094,254.75314331054688,0.9999998807907104,393.8291320800781,235.69403076171875,0.999998927116394,405.8206481933594,223.6908416748047,0.9999998807907104,420.910400390625,214.42799377441406,1.0
12,386.22491455078125,321.3737487792969,1.0,378.82843017578125,308.2476501464844,0.9999999403953552,376.9799499511719,290.2796630859375,0.9999998807907104,379.94134521484375,271.3456726074219,0.9999999403953552,384.2234191894531,254.3687744140625,0.9999999403953552,392.98681640625,235.65252685546875,0.9999995231628418,405.0286865234375,223.52040100097656,0.9999999403953552,421.21600341796875,214.4371337890625,1.0
13,387.4453125,321.9878234863281,1.0,379.54473876953125,308.9500732421875,0.9999998807907104,377.5392761230469,290.97125244140625,0.9999998807907104,380.7493896484375,271.5594787597656,0.9999999403953552,385.2162780761719,254.3417205810547,0.9999999403953552,393.8778076171875,235.6234588623047,0.999998927116394,406.5091552734375,223.50584411621094,0.9999998211860657,422.0410461425781,215.1255645751953,0.9999999403953552
14,388.28753662109375,322.06341552734375,1.0,379.95391845703125,310.1707458496094,0.9999998807907104,377.8797302246094,291.44281005859375,0.9999999403953552,380.6865539550781,271.9366149902344,0.9999999403953552,385.1952209472656,254.4277801513672,1.0,394.08953857421875,235.48048400878906,0.9999990463256836,406.8612060546875,224.03436279296875,0.9999998211860657,421.6326599121094,216.58541870117188,0.9999996423721313
15,386.8235168457031,321.3218994140625,1.0,378.6260986328125,309.61944580078125,1.0,376.4926452636719,291.26806640625,1.0,379.58245849609375,272.4670104980469,1.0,383.9683837890625,255.00631713867188,1.0,392.65972900390625,235.30255126953125,0.9999995827674866,405.0497131347656,223.5104522705078,0.9999997615814209,422.22265625,216.1553192138672,0.9999997019767761
16,387.062255859375,322.4713439941406,1.0,378.5782470703125,311.35443115234375,0.9999998807907104,377.0989685058594,293.3318786621094,0.9999998211860657,380.6780090332031,275.4959411621094,0.9999998807907104,385.5906066894531,255.8992156982422,1.0,393.2104797363281,237.3077850341797,0.9999995231628418,405.2890319824219,224.38352966308594,0.9999998807907104,422.6566467285156,217.26031494140625,0.9999996423721313
17,387.242919921875,323.6340637207031,1.0,378.03826904296875,312.4067687988281,0.9999997019767761,376.0438232421875,295.5300598144531,0.9999995827674866,380.2302551269531,277.38250732421875,0.9999998807907104,385.2739562988281,257.80389404296875,0.9999999403953552,391.957275390625,237.95542907714844,0.9999995231628418,403.70953369140625,224.193115234375,0.9999998211860657,420.8928527832031,216.4307098388672,0.9999995231628418
18,385.5048828125,323.9790344238281,1.0,377.3033447265625,311.9158935546875,0.9999998807907104,375.3959655761719,294.80340576171875,0.9999997615814209,380.0054931640625,277.1390686035156,0.9999999403953552,384.96990966796875,258.3075256347656,1.0,391.1371765136719,239.00352478027344,0.9999996423721313,403.0286865234375,223.9649658203125,0.9999996423721313,420.8561706542969,216.3426055908203,0.9999991655349731
19,386.7198486328125,329.6849365234375,1.0,378.93194580078125,315.98297119140625,0.9999998807907104,375.5028076171875,299.86669921875,0.9999998807907104,380.08416748046875,281.0035095214844,0.9999994039535522,386.0748291015625,261.49090576171875,1.0,391.712646484375,240.4382781982422,0.9999996423721313,403.845703125,224.91256713867188,0.9999992847442627,423.105712890625,217.67263793945312,0.9999975562095642
20,387.079833984375,330.77850341796875,1.0,378.92071533203125,316.6070556640625,0.9999997615814209,375.1004638671875,300.1796875,0.9999997615814209,379.0726623535156,282.1661682128906,0.9999997019767761,385.03265380859375,262.39056396484375,0.9999998807907104,390.45513916015625,241.6064910888672,0.9999999403953552,401.4067687988281,225.60621643066406,0.9999997615814209,419.17633056640625,217.46653747558594,0.9999986886978149
